history1,history2,question,rewrite
帮我查查潜行狙击的主演都有谁啊,潜行狙击的主演有黄宗泽 谢天华 陈法拉和徐子珊,帮我查查潜行狙击的导演是哪位呢,帮我查查潜行狙击的导演是哪位呢
病毒是细胞吗,研究细胞的,那他是生命系统吗,那病毒是生命系统吗
那是哪个电影呀,给你推荐的是诡丝这个电影,诡丝的导演是谁,诡丝的导演是谁
给我巧克力就喜欢你,巧克力给你,给小孩吃的,巧克力给小孩吃的
下周六上海的风力风向如何呢,当天有1级南风,再帮我查一下下周六上午从上海出发去深圳的动车,再帮我查一下下周六上午从上海出发去深圳的动车
您好 我想看看喜剧电影 能帮我推荐一部吗,那你可以看看狗蛋大兵,狗蛋大兵是哪个地区的啊,狗蛋大兵是哪个地区的啊
你好 我来苏州出差 我想抽空找一个价格偏贵的山水景区走走 求推荐,推荐您去金鸡湖景区,好啊 金鸡湖景区的评分是多少呢,好啊 金鸡湖景区的评分是多少呢
你刚刚加了一个叫 野猪佩琪的人吧,好不好啊,她我朋友我推荐她加你的,野猪佩琪我朋友我推荐野猪佩琪加你的
今年世界杯八强是谁,八强已经出来了美洲只剩下巴西和乌拉圭了哎,还有谁,世界杯八强还有谁
有没有2010年代中国大陆当时的热播剧介绍一个,当然有呀 你有喜欢的类型吗,我想找一部科幻片 有合适的科幻片吗 片名是什么,我想找一部科幻片 有合适的科幻片吗 片名是什么
独墅湖教堂有什么特点啊,独墅湖教堂因坐落于苏州工业园区风景秀美的独墅湖旁而得名 教堂主体采用哥特式建筑风格,还要在工业园区附近找一家餐厅 我喜欢吃甜点 找一家偏贵点的餐厅,还要在工业园区附近找一家餐厅 我喜欢吃甜点 找一家偏贵点的餐厅
好的 我会带些厚衣服的 下周三如何时间能来得及的话我想去武汉 再帮我看看武汉的天气吧,给您查询到 武汉下周三的天气是多云转晴 也不错哦 适合游玩,武汉下周三的温度怎么样,武汉下周三的温度怎么样
你好 我想知道下周二苏州的天气情况和温度呢,当天苏州是晴转多云的天气 最高温度9摄氏度 最低温度1摄氏度,下周二苏州风大吗,下周二苏州风大吗
你知道包法利夫人吗,最后作者确实毫不留情的给了包法利夫人一个痛苦的死亡,夫人怎么死的,包法利夫人怎么死的
印度先生 的导演是谁 片长能有多久,是由谢卡尔 卡普尔执导的 片长有179分钟,时间是蛮长的 不知道会不会睡着  印度先生 豆瓣上的评分有多少分,时间是蛮长的 不知道会不会睡着  印度先生 豆瓣上的评分有多少分
我想查询最近的天气情况 能帮我查查下周四北京的风力风向和温度吗,东南风1级 最高温度4摄氏度 最低温度 4摄氏度,那能帮我查查下周四北京的天气怎么样吗,那能帮我查查下周四北京的天气怎么样吗
有啥好看的小说吗,东野圭吾解忧杂货店,看过了,解忧杂货店看过了
你知道穆斯林的葬礼吗,人类啊我上知天文下知地理就这块不太懂呢,它的作者是谁,穆斯林的葬礼的作者是谁
羽生结弦你知道是谁吗,不知道,你能帮我搜索吗,你能帮我搜索羽生结弦吗
无限复活是什么时候上映的,这部影片是2002年1月11日在中国香港上映的,无限复活的豆瓣评分怎么样,无限复活的豆瓣评分怎么样
木渎古镇的特点听起来不错 我坐地铁可以直接到那吗,这个真不行,好吧 你可以帮我找找吴中区的1星级酒店吗,好吧 你可以帮我找找吴中区的1星级酒店吗
仙女,仙女是谁,我,仙女是我
你好 我来苏州办事 顺便想逛逛景点 有没有消费便宜的水乡古镇推荐一下,推荐您去木渎古镇,木渎古镇评分高不,木渎古镇评分高不
一会去义乌,义乌是哪里,在浙江省金华市啊,义乌在浙江省金华市啊
我最近看幽灵,没看过,看过很多遍,幽灵看过很多遍了
杨幂越来越火了,你认识杨幕吗,有没有她照片,有没有杨幂照片
大龙虾,大龙虾是一百元吗,是10000元哦,大龙虾是10000元哦
请问惠普 HP 光影精灵5有哪些特点呢,这款电脑比较突出的特性是它的背光键盘,惠普 HP 光影精灵5的待机时长是多长时间,惠普 HP 光影精灵5的待机时长是多长时间
父母不理解我,去体谅父母理解父母,但是他们只知道诉苦,但是父母只知道诉苦
我喜欢上了一个女孩,喜欢就表白免得以后想起来是个遗憾,她不喜欢我,那个女孩不喜欢我
你认识我的一个好友叫赵俊臣吗,认识的快联系,他长的丑么,赵俊臣长的丑么
好的 再看看下周六杭州的天气吧,是个晴天哟,下周六杭州气温多少呀,下周六杭州气温多少呀
邱诺洁你认识吗,不认识,那你能收集她的资料吗,那你能收集邱诺洁的资料吗
你好 我想在工业园区找个消费中等价位的餐厅 推荐一个好吗,推荐你西贝莜面村,那西贝莜面村地铁直达吗,那西贝莜面村地铁直达吗
你好 我家是厦门的 麻烦给我查一下下周五的天气和温度 行吗,好的 已为您查询 那天天气晴 最高温度21摄氏度 最低温度13摄氏度,那下周五厦门的风力风向如何呢,那下周五厦门的风力风向如何呢
绝命毒师2,我喜欢绝命毒师,里面哪个人物你最喜欢,绝命毒师2里面哪个人物你最喜欢
风有点大 那下周五杭州是个什么天气呢 风大应该不会有雨,您猜错了 天气是阴转小雨,哈哈 当我没说 下周五杭州的气温再帮我看一下吧,哈哈 当我没说 下周五杭州的气温再帮我看一下吧
你好 明天我要去苏州的高新区出差 那边中等价位的酒店帮我推荐一个吧 要大床房,给您推荐美锦酒店,美锦酒店大床房的房费是多钱啊,美锦酒店大床房的房费是多钱啊
你好 我想了解下周三厦门的天气情况,是晴天哟,那下周三厦门温度多少,那下周三厦门温度多少
来我房间,房间在哪里,你隔壁啊,我房间在你隔壁啊
话说刚无聊查了下射手榜第一是凯恩欸6球,哪个凯恩,希望他能保持好这个状态那个你比较看好谁呀,希望凯恩能保持好这个状态那个你比较看好谁呀
胡歌怎么样,仙剑一喜欢胡歌到现在,那他就是你男朋友了,那胡歌就是你男朋友了
护士是如何找男朋友的我说男护士,你是护士,不是哎,我不是护士哎
下周一广州的温度呢,最高温度18摄氏度 最低温度5摄氏度,下周一广州的风力风向又如何,下周一广州的风力风向又如何
我想在姑苏区内找一个治疗心血管内科比较好的医院 不知道哪个医院好 请你给个推荐吧,我推荐您去苏州大学附属第一医院,苏州大学附属第一医院地址在什么地方呢,苏州大学附属第一医院地址在什么地方呢
你帮我查一下下周二上午出发 广州到上海的火车吧,那您选择什么车型呢,下周二上午出发广州到上海一等座就可以了,下周二上午出发广州到上海一等座就可以了
你对鲁迅有有什么看法,你喜欢鲁迅,因为他能将很深刻的问题看的很清楚,因为鲁迅能将很深刻的问题看的很清楚
我跟你说畅离骚的是烊千玺懂吗懂吗易烊千玺易烊千玺易烊千玺易烊千玺易烊千玺易烊千玺,期待易烊千玺的最新单曲声音很独特很有磁性加油,最新单曲是啥,易烊千玺的最新单曲是啥
电脑内存是8GB的就可以,那我推荐你购买联想小新Air,联想小新Air的显卡型号是什么,联想小新Air的显卡型号是什么
您好 能给我推荐一部80年代的喜剧片吗,您喜欢看什么样的 港片 大陆片还是美国片,我比较喜欢80年代的香港电影,我比较喜欢80年代的香港电影
我出去旅游了呢,时间定了吗出去玩多带几套衣服拍照啊,我已经出去了,我已经出去旅游了
你好 我是苏州人但是平日也不怎么出去玩 现在有个朋友来苏州找我玩 我想带他去游乐场 给我推荐一个消费水平偏高的地方吧,给你推荐一下苏州乐园森林水世界吧,苏州乐园森林水世界的特点是什么 门票价格是多少啊,苏州乐园森林水世界的特点是什么 门票价格是多少啊
也有网恋奔现的啊,网恋不好的,为什么不好,为什么网恋不好
你好 带家里人来吴中区玩 这附近有没有餐厅可以吃饭,您想吃什么菜系呢,我想吃一些面包甜点,我想吃一些面包甜点
你好 我下周五打算去杭州旅游 请帮我查一下下周五那天的天气怎么样,下周五那天杭州的天气是阴转小雨,下周五那天杭州的温度如何,下周五那天杭州的温度如何
男朋友总是不回你信息怎么办,自己出去玩不用把生活的重心放在不珍惜你的人身上,他为什么要这样,男朋友为什么要这样
你好 我打算在苏州待几天 明天想去穹窿山景区 你能帮我查一下营业时间吗 我想规划一下明天的路线,好的 我查到的时间是上午八点到下午四点半 建议您上午去,好的 我还不知道穹窿山景区在哪儿呢,好的 我还不知道穹窿山景区在哪儿呢
好的 天平山景区的电话告诉我 找不到打电话,0512 66387422,我还想在天平山景区附近找一家便宜点的酒店休息 住个标准间就行 有什么地方呀,我还想在天平山景区附近找一家便宜点的酒店休息 住个标准间就行 有什么地方呀
好 再帮我推荐一部由玛德琳 卡罗尔演的电影吧,给您推荐怦然心动 很不错的,怦然心动的豆瓣评分怎么样,怦然心动的豆瓣评分怎么样
苏州大学附属第一医院的电话是多少啊,他家的电话是65223637,嗯 都有哪些公交线路可以到苏州大学附属第一医院呢,嗯 都有哪些公交线路可以到苏州大学附属第一医院呢
你好 我孩子上五年级 成绩在班里前列 就是英语有点弱 我想给他报个英语的志高班 地点最好在吴中区 帮我找一个吧,您好 根据您的要求 给您推荐PE5J05065,好的 但是我比较关心PE5J05065辅导班在哪里上课,好的 但是我比较关心PE5J05065辅导班在哪里上课
怎么了,忘记吃药了,赶紧吃,赶紧吃药
在不 您好 最近想换电脑 预算不超过5000元 我想了解一下宏碁 商祺这个系列的 能帮忙推荐一款吗,您好 这个系列的您可以选择宏碁 Acer 商祺SQX4270660N这款电脑,请问宏碁 Acer 商祺SQX4270660N的显卡是什么型号的,请问宏碁 Acer 商祺SQX4270660N的显卡是什么型号的
我梦见明星王嘉尔打自己小孩,哇塞我前两天做梦也梦到了,就他在公园打自己小孩 我看见了就把小孩抱开了,就王嘉尔在公园打自己小孩 我看见了就把小孩抱开了
我想要面包甜点餐厅 最好是便宜一点的,那您就去乐乐茶吧 这个餐馆很不错,乐乐茶营业时间是多会儿呀,乐乐茶营业时间是多会儿呀
好的 苏州太湖国家湿地公园评分了 怎么样,评分是4 5分,评分也还不错 苏州太湖国家湿地公园附近有没有价位中等的餐厅给我推荐一家,评分也还不错 苏州太湖国家湿地公园附近有没有价位中等的餐厅给我推荐一家
室友烦死了,出什么事了吗快告诉我,她老咳嗽 传染了给我,室友老咳嗽 传染了给我
时间挺早的 G355 北京南 厦门北的一等座的车票多少钱,一等座的票价是1347 5元,G355 北京南 厦门北到厦门北站的时间呢,G355 北京南 厦门北到厦门北站的时间呢
你好 来苏州旅游 想在姑苏区找个适合情侣约会的景点 能推荐一个吗,你好 那就去平江路吧 有很多文艺小店,平江路什么时间开放呢,平江路什么时间开放呢
杨洋啊,好喜欢杨洋啊,我不认识他,我不认识杨洋
再帮我查一下下周一那天南京的温度是多少呢,下周一那天南京最高温度9摄氏度 最低温度 2摄氏度,下周一南京的天气情况是怎样的呢,下周一南京的天气情况是怎样的呢
你好 我来苏州度假 帮我找一个高新区的1星级酒店,如家酒店很符合您,如家酒店的大床房的房费是多少,如家酒店的大床房的房费是多少
你觉得易烊千玺怎么样,等你单曲,是他这个人,是易烊千玺这个人
您好 我想买一台8GB内存 i5的CPU 预算5000到10000元的笔记本电脑 推荐一款,推荐您买联想小新Air,联想小新Air的裸机重量是多少,联想小新Air的裸机重量是多少
杨超越知道么,她的粉丝真的好多诶,你觉得唱歌好听么,你觉得杨超越唱歌好听么
你说的是歌曲春泥的歌词,不是歌词越来越水是好的歌词本就难写出来,你会写词吗,你会写春泥的词吗
好的 下周三下午广州去杭州的车有吗,为您推荐一列车 D933次,下周三下午广州去杭州的高铁有吗,下周三下午广州去杭州的高铁有吗
那还有什么呢,今天不是有新电影么 一触即发,导演和主演是谁,一触即发的导演和主演是谁
我跟前男友复合了,好可惜你又被撩走了,怎么跟他相处呢,怎么跟前男友相处呢
我幼儿园的,那你上小学了,没呢,没上小学呢
你认识杨洋吗,呃算认识吧,真的,你真的认识杨洋
会计,哪里的会计工作,在洛阳做,在洛阳做会计工作
苏州慢享主题酒店有停车场吗,酒店有收费停车场,好吧 我再详细咨询一下酒店吧 你有苏州慢享主题酒店电话吗,好吧 我再详细咨询一下酒店吧 你有苏州慢享主题酒店电话吗
那生活大爆炸第十二季的主演都有些谁,主演有吉姆 帕森斯 约翰尼 盖尔克奇 凯莉 库柯,生活大爆炸第十二季的豆瓣评分是多少,生活大爆炸第十二季的豆瓣评分是多少
你觉得王杰希帅吗,王杰希就是荣耀的王不留行哦游戏里见到王杰希可要小心啦,他帅吗,王杰希帅吗
乐乐茶的评分怎样,4 5,乐乐茶的电话多少,乐乐茶的电话多少
我想去海边玩,海边有什么好,有椰子树阳光还有沙滩,海边有椰子树阳光还有沙滩
郭添开呀,郭添开是谁阿,曾经他是我最喜欢的人呀,曾经郭添开是我最喜欢的人呀
辅导班上课最好是每周六的下午 我不上班 可以接孩子,我推荐您新区的PM5J44004A哦,PM5J44004A的老师是谁呢 在哪个校区呢,PM5J44004A的老师是谁呢 在哪个校区呢
我去打麻将了,麻将打得好么,贼溜,我麻将打得贼溜
多喝热水,没热水啊,烧啊,没热水烧啊
你好 这几天在苏州度假 明天想去天平山景区 这个地方有什么特点吗,这里是范仲淹先祖归葬地 可以走乱石路体验爬山乐趣 11月中下旬能赏红枫,那地铁能到天平山景区吗,那地铁能到天平山景区吗
到哪儿去玩去了,北京,好玩吗,北京好玩吗
网球如何进学校,你是篮球俱乐部的吗,不是啊,不是篮球俱乐部啊
你好 我想买辆SUV 比较信赖上汽大众 麻烦您帮我推荐一款 平时6个人坐的 谢谢了,好的 为您推荐途观L380TSI自动四驱R Line旗舰版,途观L380TSI自动四驱R Line旗舰版的价格是多少,途观L380TSI自动四驱R Line旗舰版的价格是多少
你好 我想买辆汽油驱动的SUV 20到30万的 你帮我推荐一款吧,好的 为您推荐途岳330TSI四驱豪华版,途岳330TSI四驱豪华版这款车有座椅加热功能不,途岳330TSI四驱豪华版这款车有座椅加热功能不
这个价格也可以接受 哈哈 你知道唐宫海鲜舫的评分好不好吗,餐厅评分是4 6 整体来说还不错,对 我们可以去尝尝 对了 姑苏区附近有4星级酒店吗,对 我们可以去尝尝 对了 姑苏区附近有4星级酒店吗
你知道雨果吗,电影还是作家,他的作品你怎么看,雨果的作品你怎么看
陈瑶,陈瑶是谁,是岳绮罗,陈瑶是岳绮罗
华谊兄弟电影世界坐地铁可以直达吗,正如您所期望的 地铁可以直达,可以地铁直达也太好了吧 再麻烦你告诉我一下华谊兄弟电影世界的电话号码是多少吧,可以地铁直达也太好了吧 再麻烦你告诉我一下华谊兄弟电影世界的电话号码是多少吧
淘气包马小跳可以吗,一两部也行不用推荐太多,本来就是一本书,淘气包马小跳本来就是一本书
爱人,什么是爱人,就是结为夫妻,爱人就是结为夫妻
桑塔纳1 5L自动舒适版有座椅通风功能吗,不好意思 没有这个功能,桑塔纳1 5L自动舒适版有座椅加热吗,桑塔纳1 5L自动舒适版有座椅加热吗
汤圆呢,黑芝麻滴最好吃,不好吃,黑芝麻的汤圆不好吃
你认识bill吗,比尔盖茨,给我谈谈他吧,给我谈谈比尔盖茨吧
好的 我知道了 你还得帮我查查常熟有意思连锁酒店有没有停车场,这个酒店提供免费的停车场服务,真是太好了 我可以开车过去了 这个问题我已经纠结很久了,真是太好了 我可以开车过去了 这个问题我已经纠结很久了
我比宋慧乔谁美,化妆也是锦上添花诸位认为这女人化妆能美过宋慧乔吗,我不化妆也比她美,我不化妆也比宋慧乔美
D638从成都出发的时间是几点呢,当天07 05就可以出发了,D638几点能到达南京呢,D638几点能到达南京呢
去烤羊肉串吧,烤什么就知道吃吃吃,随便烤烤随便吃吃,随便烤羊肉串吃吃
你知道叶凡吗,一直很喜欢相思啊也知道是叶凡唱的 太年轻了默哀,我是说玄幻小说的主人公,我是说玄幻小说的主人公是叶凡
你说黄丹丽会不会喜欢我,阿丽会喜欢的,谁让你叫他阿丽了,谁让你叫黄丹丽阿丽了
你认识林依晨吗,林依晨耶没有人喜欢吗,你看过她的作品吗,你看过林依晨的作品吗
哦哦 印象城还挺吸引人的嘛 有那边的电话吗,电话号码是0512 62802222,嗯嗯 我记下了 再问一下苏州工业园区附近有没有高价位的 还有大床房的酒店呢,嗯嗯 我记下了 再问一下苏州工业园区附近有没有高价位的 还有大床房的酒店呢
多多旺港式茶餐厅有什么好吃的推荐菜吗,他们家推荐菜是海鲜粥,多多旺港式茶餐厅人均消费是多钱 太贵我可吃不起,多多旺港式茶餐厅人均消费是多钱 太贵我可吃不起
也挺高的 你的孩子不是你的孩子一共多少集啊,该剧一共是10集 不是很长,短点也挺好 可以很快看完 你知道你的孩子不是你的孩子的主演名单吗,短点也挺好 可以很快看完 你知道你的孩子不是你的孩子的主演名单吗
苏州乐园森林水世界的地址是哪里,这个景点地址是苏州市高新区阳山东路以西 山神湾路以东,我想在高新区附近找个便宜点的餐厅 帮我找一下 谢谢,我想在高新区附近找个便宜点的餐厅 帮我找一下 谢谢
那信号主演名单都包括谁啊,这部剧的主演名单包括李帝勋 赵震雄 金惠秀和张铉诚,收到 我其实还想知道 信号是多少集,收到 我其实还想知道 信号是多少集
有什么好吃的介绍吗,棉花糖肉还有别的,这些热量高,棉花糖肉热量高
我喜欢的人今天暗示我他不要谈恋爱,只要你们俩是郎有情妹有意说与不说又有何关系呢,他说要考试了,我喜欢的人说要考试了
你好 我来苏州玩 想在高新区找一家消费便宜点的景点先逛逛 求推荐,您可以去苏州太湖国家湿地公园哟,行啊 苏州太湖国家湿地公园地铁直达吗,行啊 苏州太湖国家湿地公园地铁直达吗
你知道TFBOYS吗,长得都挺不错的小鲜肉,你喜欢他们三个中的谁,你喜欢TFBOYS三个中的谁
斯巴鲁,貌似斯巴鲁很好,很不错的,斯巴鲁很不错的
但我还是更喜欢伯贤啦,都爱,哇哦可他是灿烈的,哇哦可伯贤是灿烈的
台湾同性恋合法了,性别不是最重要的事爱才是呢,不知道大陆什么时候才可以呢,不知道大陆什么时候同性恋才可以合法呢
微软害怕腾讯吗,反正特别好就对了,谁更好,微软和腾讯谁更好
红海行动电影下载地址,亲偶想免费看电影给,你能不能找到,你能不能找到红海行动电影
你好 来苏州旅游 能推荐个在吴江适合朋友出游的地方吗,你好 很高兴为您服务 您对景区的消费水平有要求吗,景区的消费水平偏贵一点可以,景区的消费水平偏贵一点可以
牛炭家本格炭火烤肉人均要花费多少钱,这家饭店人均消费是90元,哦 那还真不太贵 那牛炭家本格炭火烤肉招牌菜是什么,哦 那还真不太贵 那牛炭家本格炭火烤肉招牌菜是什么
来南阳,帮我查南阳到广州火车票,帮我买火车票,帮我买南阳到广州火车票
你好 我很喜欢看美国的电影 能帮我找个维果 莫腾森主演的呗,绿皮书是他主演的电影 当时上映时特别受欢迎,绿皮书什么时候上映的啊 主要演员都有谁呢,绿皮书什么时候上映的啊 主要演员都有谁呢
你的头像是你吗,先回答我你的头像是谁,是一部电影里面的主人公,我的头像是一部电影里面的主人公
你知道魏无羡吗,我偶像,那他老攻是谁,那魏无羡老攻是谁
蔡徐坤你知道吗,蔡徐坤真的是帅炸了啊会唱会跳性格还很好怪不得那么多人喜欢他,他是我老公,蔡徐坤是我老公
潘霜霜是谁,一个女的台州的 最近和林峰传出了一些亲密的照片 算红了,是怎么红的,潘霜霜是怎么红的
余歌是不是个好名字,是个好名字,这是我的大名,余歌是我的大名
好的 那D3296次动车二等座多少钱,票价为447 0元,D3296次动车什么时间出发,D3296次动车什么时间出发
太好了 值得一看 还有再帮我找一部好看的喜剧电影吧 要中国大陆的,给你推荐一部 疯狂的石头 吧 中国喜剧比较有代表性的作品,好的  疯狂的石头 主要演员都有谁啊 豆瓣的评分怎么样,好的  疯狂的石头 主要演员都有谁啊 豆瓣的评分怎么样
你好 我很喜欢看电影 对科幻片情有独钟 请问最近几年台湾地区有什么不错的科幻电影吗,你好 有的 骇战是一部台湾制作的科幻题材的电影 推荐给你,那帮我查查骇战的豆瓣评分是多少啊,那帮我查查骇战的豆瓣评分是多少啊
你好 我下周日下午要从南京到厦门 我想买二等座的高铁 看看有哪个车呀,当天有G1675 南京南 厦门北,G1675二等座多少钱,G1675二等座多少钱
东航MU5335的票价多少,请问舱位档次您倾向于哪一种 经济舱还是公务舱,东航MU5335的公务舱票价多少钱,东航MU5335的公务舱票价多少钱
你好 我刚来苏州玩 想吴江这边找一家提供日本料理的餐厅吃饭 价格不用考虑 求推荐,推荐您去牛炭家本格炭火烤肉 很赞呢,好的呀 牛炭家本格炭火烤肉有什么推荐菜呀,好的呀 牛炭家本格炭火烤肉有什么推荐菜呀
你知道神谷浩史吗,卡米亚w,你喜欢他不,你喜欢神谷浩史不
比亚迪给你充值了吗,怎么充值,给你广告费了,比亚迪给你广告费了
王俊凯王源易烊千玺你最喜欢谁,千玺你是最棒的爱你哟,我最讨厌他,我最讨厌千玺
我应该如何读研究生,去读博士吧,怕不能毕业,读博士怕不能毕业
你知道防弹少年团吗,还可以啊参见防弹的cypher pt123,他们最火的歌是什么,防弹少年团最火的歌是什么
猛龙过江的主演名单都有谁呢,这部电影的主演名单有李小龙 苗可秀 罗礼士,好的 那猛龙过江的片长为多长时间呢 还有 具体上映时间在什么时候呢,好的 那猛龙过江的片长为多长时间呢 还有 具体上映时间在什么时候呢
你觉得三体怎么样,终于正式全部看完了终于可以正式表示不好看,为什么不好看,三体为什么不好看
啊 刚好有时间呐 苏州博物馆是否地铁直达呢,不是地铁直达,还有我想在姑苏区附近找一家五星级酒店 能帮我找一下吗,还有我想在姑苏区附近找一家五星级酒店 能帮我找一下吗
你该担心章子怡而不是担心我章子怡身体情况并不好,喜欢章子怡张震喜欢不喜欢她不关我事,关键问题还是她的脸,关键问题还是章子怡的脸
陈剑说的,陈剑是谁,他是演员吗,陈剑是演员吗
你好 我这边今年需要采购一批台式机 你帮我推荐一款5000到10000的呗 挺喜欢联想的,好的 请您稍等 为您推荐联想扬天T4900v,那联想扬天T4900v是什么色系的 显卡是什么类别的,那联想扬天T4900v是什么色系的 显卡是什么类别的
您好 我朋友托我帮忙买台电脑 我想咨询一下常规笔记本 推荐一款,好的 您的预算价格是多少,我想要常规笔记本电脑价位5000到10000元吧,我想要常规笔记本电脑价位5000到10000元吧
我想玩的有意义些 天平山景区的特点是什么呢,这里是范仲淹先祖归葬地 可以走乱石路体验爬山乐趣 在11月中下旬赏红枫,再请你帮我查一下吴中区附近好吃的火锅餐厅,再请你帮我查一下吴中区附近好吃的火锅餐厅
你好 我是来苏州旅游的 你能帮我找一个姑苏区附近的适合家庭亲子的地方吗,我建议您去虎丘景区,虎丘景区地铁可以直达吗 门票多少钱呢,虎丘景区地铁可以直达吗 门票多少钱呢
现在做财务,财务总监还招人么,招吧,招财务总监吧
我想要一个常规笔记本,对屏幕尺寸有要求吗,电脑屏幕14英寸的就可以,电脑屏幕14英寸的就可以
林清玄,读林清玄的书总会有一种难以名状的触动那些或宁静或激昂的文字给予我太多太多 不得不说林清玄的文字是值得去捧一盏清茶细细品味的,他今天走了,林清玄今天走了
灵秀,灵秀是什么鬼,是一首歌呀,灵秀是一首歌呀
G38 南京南 北京南中途多长时间,时长为5小时7分,G38 南京南 北京南几点从南京出发,G38 南京南 北京南几点从南京出发
你玩抖音么,抖 不过现在很少抖了,账号多少,抖音账号多少
你是四川机器人吗,可是我有感情也会心痛,你是哪里人啊,你是四川哪里人啊
汕头,汕头今天的天气是多云转阴19度到24度微风小于3级,会不会下雨,汕头今天会不会下雨
四川香天下火锅的评分高吗 是多少分,评分挺高4 4分,是挺高的 我还想找吴江区附近的一星级酒店 能帮我找一下吗,是挺高的 我还想找吴江区附近的一星级酒店 能帮我找一下吗
你看过海贼王吗,没看过海贼的人生是不完整的,你喜欢里边的谁啊,你喜欢海贼王的谁啊
还是喜欢你这首歌谁唱的,不就是Sweety吗,你会唱这首歌吗,你会唱Sweety的还是喜欢你吗
为啥遇到什么事了,分手了,安啦你一定会找到那个对的人的,分手了很难过
你可是博士呀,博士真的是博士,不是吗,不是博士吗
那云南大学好吗,云大还可以,哪些方面可以,云南大学哪些方面可以
命运冠位指定呢,命运冠位指定一直在我的播放列表里隔段时间就要听听,它是游戏,命运冠位指定是游戏
你知道skrillex吗,有些曲子挺好听的对于喜欢金属音乐的我来说本能联想到金属,他的代表作是什么,skrillex的代表作是什么
好小子好奇怪呀 主演都有谁,主演有颜正国 左孝虎 陈崇荣 陈慧楼,好小子的演员还不错 豆瓣上的评分咋样,好小子的演员还不错 豆瓣上的评分咋样
可以抽奖,哪里抽奖,在我家,可以在我家抽奖
那陈立农,陈立农第一集出来穿着粉衣服真的好清爽啊,我炒鸡喜欢他,我炒鸡喜欢陈立农
你最喜欢什么电影,陪着你,这是什么电影,陪着你是什么电影
这家伴园私房菜餐厅的电话号码是多少呢,电话号码是139 6217 0368,这伴园私房菜附近有没有价位中等的酒店 请你给我推荐一个,这伴园私房菜附近有没有价位中等的酒店 请你给我推荐一个
噬罪者的豆瓣评分是几分,它的评分是8 0,那噬罪者的导演是谁呢,那噬罪者的导演是谁呢
Hi 我和朋友来苏州出差 顺便想到苏州大学逛一逛 体验一下苏大的人文风情 请问坐地铁是否可以直接到,您好 很高兴为您服务 去苏州大学可以地铁直达的,苏州大学的对外开放时间具体是怎样的呢,苏州大学的对外开放时间具体是怎样的呢
看过鬼父吗,都看过,什么内容呢,鬼父什么内容呢
这个是什么动画片呀,小熊华斯比历险记,那您知道这是什么动画片吗,那您知道小熊华斯比历险记是什么动画片吗
太好了 我还想找一家中等价位的火锅店吃饭 哪家比较好呀,您可以去四川香天下火锅 这家口味不错,行啊 四川香天下火锅的地址在哪,行啊 四川香天下火锅的地址在哪
城市便捷酒店的电话是多少,0512 63661555,城市便捷酒店的地址在哪,城市便捷酒店的地址在哪
哈喽 我朋友来苏州找我玩 我虽然是本地的 但不常出门 能不能给我找个便宜点的苏州园林,沧浪亭是个古老的园林 你们可以去游玩一番,你这边可以查到沧浪亭的电话号码吗,你这边可以查到沧浪亭的电话号码吗
我还想要找个袁咏仪演的动作片 麻烦了,不麻烦 袁咏仪曾主演过花木兰这部剧,袁咏仪演的花木兰评分高吗,袁咏仪演的花木兰评分高吗
预测一下厦门天气预报,厦门今天的天气是晴转阴26度到32度南风3级,未来15天天气预报,厦门未来15天天气预报
那四川航空3U8993经济舱的票价是多钱呢,票价是790元,那你帮我查查下周日成都去北京的航班吧 我临时有点事,那你帮我查查下周日成都去北京的航班吧 我临时有点事
刚好 我也想看剧情片呢,那真的是太巧了 说明我们很有缘分啊,对啊 那权力的游戏第一季 是什么年代的,对啊 那权力的游戏第一季 是什么年代的
我喜欢的人不喜欢我,爱情就是这么没道理只能自己看开委屈,他为什么不喜欢我,我喜欢的人为什么不喜欢我
你好 我想在工业园区找一个消费便宜点的景点玩 求推荐,推荐西交利物浦大学 感受一下校园的风光吧,好了 西交利物浦大学坐地铁能直达吗,好了 西交利物浦大学坐地铁能直达吗
那双瞳的豆瓣评分多少 我可一定要分高的,豆瓣评分7 5分 是这个系列分最高的了,7 5分也还行吧 双瞳的导演是谁,7 5分也还行吧 双瞳的导演是谁
比尔盖茨问点有难度的吧,比尔盖茨,他算是我见过智商最高的人类了,比尔盖茨算是我见过智商最高的人类了
你好 我想买辆汽车 最好是小型的两厢车 两驱的吧 麻烦你帮我推荐一下,好的 这边帮您找到POLO自动全景乐享版,POLO自动全景乐享版的价格是多少呢,POLO自动全景乐享版的价格是多少呢
你认识吴世勋吗,大爱吴世勋,他原先是属于鹿晗的,吴世勋原先是属于鹿晗的
好的 沙家浜风景区的具体地址能给提供给我一下吗,这个景点在苏州市常熟市沙家浜镇,沙家浜风景区的电话号也提供给我一下吧,沙家浜风景区的电话号也提供给我一下吧
你好小兵,你也好冰糖葫芦好吃么,好吃,冰糖葫芦好吃
你好 我想买辆汽油驱动的MPV 30万以上的吧 麻烦你帮我推荐一下,好的 为您推荐凯路威2 0TSI四驱舒适版,凯路威2 0TSI四驱舒适版有倒车影像吗,凯路威2 0TSI四驱舒适版有倒车影像吗
