history1,history2,question,rewrite,model_output,accuracy,semantic_related
你的QQ是多少,QQ群和厘米秀里都有我哦,那是多少,QQ是多少,QQ群和厘米秀里的QQ是多少,,0
蕲春,蕲春在哪里,你连这个都不知道,你连蕲春都不知道,蕲春在哪里你连这个都不知道,,0
联想扬天T4900v显卡是啥型号的,显卡型号是GT730,嗯 你再帮我找一款和联想扬天T4900v同等条件的游戏本吧 我对比一下,嗯 你再帮我找一款和联想扬天T4900v同等条件的游戏本吧 我对比一下,嗯 你再帮我找一款和联想扬天T4900v同等条件的游戏本吧 我对比一下,,1
你好 在苏州我不怎么出去 我朋友来了 我想带她去姑苏古迹这样的地方 帮我推荐一下吧,这样的地方还挺多的 你对价位方面有要求吗,我希望像姑苏古迹这样的地方的人均消费水平最好是中等的 我可能要考虑一下价格,我希望像姑苏古迹这样的地方的人均消费水平最好是中等的 我可能要考虑一下价格,我希望像姑苏古迹这样的地方的人均消费水平最好是中等的 我可能要考虑一下价格,,1
新加坡的环球影城,推荐环球影城,嗯嗯 好玩,嗯嗯 新加坡的环球影城好玩,嗯嗯 新加坡的环球影城好玩,,1
你好 我下周日下午要从杭州到上海开会 准备做二等座 请问有哪列高铁,您可以乘坐G7320 杭州东 上海虹桥,好的 G7320几点从杭州出发 几点到上海呀,好的 G7320几点从杭州出发 几点到上海呀,G7320次高铁从杭州东站几点出发，几点到达上海虹桥站？,,0
那你知道生活大爆炸第十二季的豆瓣评分吗,这部剧的豆瓣评分可是非常高的 是9 6呢,生活大爆炸第十二季评分真的是很高 估计生活大爆炸第十二季会很好看,生活大爆炸第十二季评分真的是很高 估计生活大爆炸第十二季会很好看,生活大爆炸第十二季豆瓣评分很高吗,,0
唉呀 您帮我看看下周六南京直飞厦门的航班吧 我需要坐公务舱,有东方航空MU2879 禄口国际机场T2 高崎国际机场T4,东方航空MU2879起飞和到达时间分别是几点呢 我提前安排一下,东方航空MU2879起飞和到达时间分别是几点呢 我提前安排一下,东方航空MU2879航班的起飞和到达时间分别是几点呢，我需要提前安排一下,,0
行 那我们在这个时间点去 晚上我想在高新区附近找一家酒店休息 有没有价格偏贵的呢,稍等 为您查询到4个这样的酒店呢 请问您想要大床房还是标准间呢,我想要酒店的标准间,我想要酒店的标准间,晚上在高新区附近找一家价格偏贵的酒店标准间休息,,0
我想的是刘也行,刘也行是谁,一站到底的冠军,刘也行是一站到底的冠军,刘也行是一站到底的冠军吗,,0
我女朋友是黄明昊,为国家牺牲的人类真的很伟大,她没有牺牲,我女朋友黄明昊没有牺牲,黄明昊没有牺牲,,0
西游记,生命是场漫长艰辛的修行但即便如唐僧般软弱也可以到达终点,那是有几个徒弟护着他不然早挂了,那是有几个徒弟护着唐僧不然早挂了,西游记中唐僧有几个徒弟护着他不然早挂了,,0
我们什么时候认识的,感觉好久了呢害羞,具体时间呢,我们认识的具体时间呢,我们什么时候认识的具体时间呢,,0
你不是懂体育吗,体育不只是体育,那是什么,体育是什么,那体育不只是体育是什么,,0
晚上一起喝酒去啊,酒逢知己千杯少啊喝一杯去,喝完了一起唱K怎么样,晚上喝完了酒一起唱K怎么样,喝完酒后一起唱K怎么样,,0
我想去春天景色美的地方,离太阳最近的地方好美,你能推荐一下吗,你能推荐一下春天景色美的地方吗,你能推荐一下离太阳最近的地方吗,,0
你好 我是南京人 下周准备要去深圳玩几天 请问下周四有没有航班呢 我需要有经济舱的余票,为您查询到南方航空CZ3560 禄口国际机场T2 宝安国际机场T3,南方航空CZ3560到达深圳时间是几点啊,南方航空CZ3560到达深圳时间是几点啊,南方航空CZ3560航班到达深圳的时间是几点,,0
蔡冬雨那个王八蛋,说这话的人才是白眼,他欺负了我,蔡冬雨欺负了我,蔡冬雨欺负了我,,1
你好 我这边今年需要采购一批台式机 你帮我推荐一款5000到10000的呗 挺喜欢联想的,好的 请您稍等 为您推荐联想扬天T4900v,那联想扬天T4900v是什么色系的 显卡是什么类别的,那联想扬天T4900v是什么色系的 显卡是什么类别的,联想扬天T4900v的色系和显卡类别是什么,,0
你好 请看看下周三深圳到成都的航班 我要坐公务舱去 有哪个航班呀,有海南航空HU7751 宝安国际机场T3 双流国际机场T2 这个航班哟,海南航空HU7751公务舱多少钱,海南航空HU7751公务舱多少钱,海南航空HU7751公务舱多少钱,,1
你好 我正在考虑买一台T ROC探歌的车 低配的吧 麻烦你帮我推荐一款,好的 这边为您推荐T ROC探歌230TSIDSG两驱进取型,T ROC探歌230TSIDSG两驱进取型多少钱啊,T ROC探歌230TSIDSG两驱进取型多少钱啊,T ROC探歌230TSIDSG两驱进取型多少钱,,0
钢铁是怎样练成的  是谁写的,很不错的励志类的小说,作者是谁,钢铁是怎样练成的的作者是谁,钢铁是怎样练成的的作者是谁,,1
你喜欢谁,我爱我自己谢谢,除了自己呢,除了自己你还喜欢谁呢,除了自己之外你喜欢谁,,0
你好 我刚来苏州旅行 想在姑苏区找一个消费水平亲民便宜的景点转转 能帮忙推荐一个吗,好的 没问题 请问您是和家人一起还是和朋友出游呢,哦 我是和家人一起来苏州的,哦 我是和家人一起来苏州的,哦 我是和家人一起来苏州的,,1
你喜欢东方吗,不喜欢,是什么,东方是什么,东方是什么,,1
下午好 这几天我在苏州度假 明天准备去同里古镇玩 你知道关于这个景点的特点吗,知道一些 景点特点是五湖环抱的江南水乡古镇 走三桥 参观小巧精致的园林退思园,哇 同里古镇有这么多特点呢 真好 景点一般什么时间开放呀,哇 同里古镇有这么多特点呢 真好 景点一般什么时间开放呀,同里古镇的开放时间是什么时候,,0
上周去逛动物园了看到大熊猫就走不动道,为什么,可爱死啦你最喜欢什么动物啊,大熊猫可爱死啦你最喜欢什么动物啊,可爱死啦你最喜欢什么动物啊,,0
我想吃桔子,桔子太酸,酸酸甜甜的,桔子酸酸甜甜的,酸酸甜甜的桔子,,0
你好 我虽然是苏州人 但是不怎么出去玩 这次朋友来了 我想带她去商业中心逛逛 希望你能帮我推荐一下,地方还挺多的 你对消费水平有啥要求没,我想到中等消费水平的商业中心逛逛 太高我们也消费不起,我想到中等消费水平的商业中心逛逛 太高我们也消费不起,中等消费水平的商业中心,,0
你知道魏无羡吗,不知道,谁知道,谁知道魏无羡,谁知道魏无羡,,1
你好 我和同学要去别的城市玩 问一下下周四北京天气咋样,多云,那下周四北京温度高不高啊,那下周四北京温度高不高啊,下周四北京天气温度高不高,,0
我是最强王者,王者不配有cp,了解一下吧,了解一下最强王者吧,了解一下最强王者的cp吧,,0
刺杀骑士团长这本书怎么样,作者是谁,村上春树,刺杀骑士团长的作者是村上春树,刺杀骑士团长这本书的作者是谁,,0
哈喽 我和朋友来苏州出差山塘街逛一逛 想问一下这个地方在哪里,你好 山塘街在苏州市姑苏区古城西北 很好找的地方,山塘街的评分多少,山塘街的评分多少,山塘街的评分多少,,1
你觉得卡尔维诺怎么样,实在是看不懂觉得跟卡尔维诺的书是一个意思但是卡尔维诺的更有可读性寓意更丰富,和博尔赫斯相比呢,卡尔维诺和博尔赫斯相比呢,和卡尔维诺相比，博尔赫斯怎么样,,0
你为什么不发朋友圈,我要一个女朋友,有女朋友就发了,有女朋友就发朋友圈了,有女朋友就发朋友圈,,0
小微巩义有什么好玩的呢,欢乐谷比较有名新建的哦,在哪里,欢乐谷在哪里,欢乐谷在巩义的哪里,,0
我本来想说李世民的,李世民是哪个,是唐太宗,李世民是唐太宗,李世民是唐太宗,,1
那可不错 再看看下周二上午从广州到上海的一等座高铁吧 我要去那边见个朋友 哈,当天有G86 广州南 上海虹桥,G86下周二上午从广州到上海一等座票价多少,G86下周二上午从广州到上海一等座票价多少,G86下周二上午从广州南到上海虹桥一等座票价多少,,0
你好 我想买辆越野MPV 一般是2个人坐的 麻烦你推荐一款,好的 这边查到有好几款 您想买什么价位的车呢,我想买价位是15到20万的车就可以,我想买价位是15到20万的车就可以,我想买价位是15到20万的越野MPV,,0
中国大陆,好的 按照您的要求 为您找到电影 片名甲方乙方,请问甲方乙方这部电影的豆瓣评分是多少,请问甲方乙方这部电影的豆瓣评分是多少,请问甲方乙方这部电影的豆瓣评分是多少,,1
没钱网购了,我招商银行的,是吗,是招商银行的吗,招商银行是吗,,0
好的 帮我查查苏州黎里水岸寒舍精品酒店的房费是多少,大床房是629元,好的 帮我查查苏州黎里水岸寒舍精品酒店的停车场收费不,好的 帮我查查苏州黎里水岸寒舍精品酒店的停车场收费不,好的 帮我查查苏州黎里水岸寒舍精品酒店的停车场收费是多少,,0
我感觉乐乐茶的推荐菜不错 你把那的地址发给我吧,餐厅的位置在星港街苏州中心商场北区B1层 比较好找的,好的 请你再给我推荐一个酒店吧 要价格中等的休闲度假酒店就可以,好的 请你再给我推荐一个酒店吧 要价格中等的休闲度假酒店就可以,价格中等的休闲度假酒店,,0
帮我查查高尔夫1 8TSI旅行版有定速巡航功能吗,有定速巡航功能呢,高尔夫1 8TSI旅行版有定速巡航功能那还不错 请问有座椅通风功能吗,高尔夫1 8TSI旅行版有定速巡航功能那还不错 请问有座椅通风功能吗,高尔夫1 8TSI旅行版有定速巡航功能那还不错 请问高尔夫1 8TSI旅行版有座椅通风功能吗,,0
你知道无声告白吗,看完无声告白的感受每个人都想成为别人喜欢的样子但也都想摆脱他人的期望,可是女主失败了从新开始永远都是个伪命题,可是无声告白里的女主失败了从新开始永远都是个伪命题,可是女主在无声告白中失败了，从新开始永远都是个伪命题,,0
我不喜欢杨颖,有几张和杨颖很像,她整容了吧,杨颖整容了吧,杨颖整容了吧,,1
你喜欢火影里的谁,你让一个博爱的人怎么说啊太多了啊,卡卡西怎么样,火影里的卡卡西怎么样,卡卡西怎么样,,0
你知道武磊么,武磊可以的,他射门厉害么,武磊射门厉害么,武磊射门厉害么,,1
去北戴河,洱海真的很像海,你去过吗,你去过洱海吗,你去过洱海吗,,1
没做过上海航空FM9309 不知道它准时不,蛮准时的 准点率有96 61,那我就放心了 上海航空FM9309的公务舱的票价是多少,那我就放心了 上海航空FM9309的公务舱的票价是多少,上海航空FM9309公务舱票价是多少,,0
机械硬盘现在买得到么,买的到,多少钱,机械硬盘多少钱,机械硬盘多少钱,,1
你好 我们一家来苏州玩 想在姑苏区找一家火锅店吃饭 求推荐一下,推荐大家去老天桥蛙炉火锅 口味很赞,行啊 老天桥蛙炉火锅的地址在哪,行啊 老天桥蛙炉火锅的地址在哪,老天桥蛙炉火锅的地址在哪,,0
魏璎珞怎么样,吴谨言在延禧攻略里演的很棒啊看着很爽,明玉也挺好的,延禧攻略里的明玉也挺好的,明玉也挺好的,,0
周星驰 赵薇 吴孟达 谢贤都是名角啊 太期待了 少林足球什么时间上映的呀,2001年07月12日在中国香港上映的,这可是一部老片子了 少林足球的豆瓣评分是几分呀,这可是一部老片子了 少林足球的豆瓣评分是几分呀,少林足球的豆瓣评分是几分,,0
意林小淑女怎么样,呵呵,你没看过,你没看过意林小淑女,意林小淑女你没看过吗,,0
爱情,爱情是不能用言语来回答的,那用啥表达,那爱情用啥表达,那爱情用啥表达,,1
嗯 那下周三广州风沙大不大,不大 就是小微风 呵呵,好的 下周三广州户外紫外线强吗,好的 下周三广州户外紫外线强吗,下下周三广州户外紫外线强吗,,0
江门有什么好玩的呀,江门在哪,在阳江,江门在阳江,在阳江有什么好玩的吗,,0
同价位的MacBookAir如何呢,Apple2019款MacBookAir13 3这个销量不错,Apple2019款MacBookAir13 3这台的待机时间可以查到吗,Apple2019款MacBookAir13 3这台的待机时间可以查到吗,Apple2019款MacBookAir13 3的待机时间可以查到吗,,0
很久没玩扫雷了,扫雷不好玩,你能通关不,扫雷你能通关不,你能通关扫雷不,,0
你知道七国小都音吗,必须知道,可不可以给我她的一张照片,可不可以给我七国小都音的一张照片,七国小都音的一张照片,,0
董思明认识吗,董思明认识了,他人好吗,董思明人好吗,董思明他人好吗,,0
你能跟我说说三国中你最喜欢的人是谁吗,我没玩过三国,很好玩的猜谜游戏,三国是很好玩的猜谜游戏,很好玩的猜谜游戏,,0
这太划算了 就是不知道万悦酒店大床房的房费是不是也这么划算呢,我只知道房费是346元,万悦酒店大床房的房费我完全能接受 还好有你帮忙 再见,万悦酒店大床房的房费我完全能接受 还好有你帮忙 再见,万悦酒店大床房的房费是346元，我完全能接受，还好有你帮忙，再见,,0
我和男朋友分手了,想想又有更多时间去做喜欢的事啦,我放不下他,我放不下男朋友,我放不下男朋友,,1
您好 我下周五准备从杭州到北京旅游 想坐经济舱 请问当天有哪个航班,您可以乘坐东方航空MU5457 萧山国际机场T3 首都国际机场T2,东方航空MU5457经济舱多少钱呢,东方航空MU5457经济舱多少钱呢,东方航空MU5457经济舱价格是多少,,0
章鱼 是色盲,章鱼的血是什么颜色,蓝色我要满意,章鱼的血是蓝色的我要满意,章鱼的血是蓝色的吗,,0
这么早啊 那东方航空MU5101到北京的时间呢,当天10 15就到北京了,好 这个时间下午我还能做点事情 东方航空MU5101的准点率怎么样,好 这个时间下午我还能做点事情 东方航空MU5101的准点率怎么样,东方航空MU5101的准点率怎么样,,0
你好 我来苏州办事 顺便想逛逛景点 有没有消费偏贵的水乡古镇推荐一下,推荐您去周庄古镇 这里很有意思,周庄古镇门票多钱 贵不,周庄古镇门票多钱 贵不,周庄古镇门票多少钱贵吗,,0
那么中国国航CA4325次航班经济舱的票价呢,920元,好的 中国国航CA4325次航班什么时候起飞,好的 中国国航CA4325次航班什么时候起飞,中国国航CA4325次航班什么时候起飞,,0
是啊 我也喜欢太极宗师 这个战狼2 是什么时间上映的啊,这部电影的具体上映时间是2017年7月27日,好的 我打算去看看战狼2 非常感谢你的帮助 再见,好的 我打算去看看战狼2 非常感谢你的帮助 再见,好的 我打算去看看战狼2 非常感谢你的帮助 再见,,1
你都玩什么游戏啊,那妥妥的王者荣耀,除了这个呢,除了王者荣耀呢,除了王者荣耀之外还有什么游戏,,0
那五芳斋有什么特色菜吗,他家推荐蛋黄肉粽,好的 吴江附近有偏贵点的而且有标准间的酒店吗,好的 吴江附近有偏贵点的而且有标准间的酒店吗,吴江附近有偏贵点的而且有标准间的酒店吗,,0
我最喜欢的韩国导演是洪尚秀,这么巧我也好喜欢的,你喜欢他哪一部电影,你喜欢洪尚秀哪一部电影,你喜欢洪尚秀的哪一部电影,,0
喝茶吗,喝茶好吗鑫鑫,好啊你请客,喝茶好啊你请客,好啊你请客喝茶,,0
那昆山附近有没有合适的餐厅给推荐一家呢,您需要什么价位的,中等价位的餐厅就可以,中等价位的餐厅就可以,昆山附近中等价位的餐厅推荐,,0
拿着稿子念就是所谓的诚意吗,不是是背稿子,不好一定要背,不好一定要背稿子,不好一定要背稿子,,1
推荐一本与神对话,竟然没人,很好的书,与神对话是很好的书,推荐一本与神对话很好的书,,0
G1662是几点出发的,是下午一点十六的,哦哦 那G1662到南京得几点,哦哦 那G1662到南京得几点,G1662到南京得几点,,0
好的 那下周五厦门什么天气呀,是大晴天哟,下周五厦门气温多少,下周五厦门气温多少,下周五厦门气温多少,,1
我想知道金三顺首播时间,首播在2005年6月1日,这么搞笑的金三顺电视剧是谁导演的呢,这么搞笑的金三顺电视剧是谁导演的呢,金三顺电视剧的导演是谁,,0
悠长假期 一共有多少集呢 每集时间是多久,一共有11集 每集是54分钟的,嗯  悠长假期 的导演是谁,嗯  悠长假期 的导演是谁,悠长假期的导演是谁,,0
你好 我是外地来苏州度假的 你能先帮我找个酒店吗 想要苏州吴江的2星级酒店,这边为您推荐城市便捷酒店 非常符合您的要求 您对房型有什么要求吗,我想订城市便捷酒店的标准间 你能顺便帮我查一下标准间多少钱吗,我想订城市便捷酒店的标准间 你能顺便帮我查一下标准间多少钱吗,我想订城市便捷酒店的标准间 你能顺便帮我查一下苏州吴江城市便捷酒店标准间的价格吗,,0
你喜欢广州恒大吗,很喜欢比赛就要开始了,已经开始了,比赛已经开始了,广州恒大比赛已经开始了,,0
听起来不错嘛 昆山托尼洛 兰博基尼酒店的地址在哪,地址在昆山中山路287号中茵世贸广场,好的 昆山托尼洛 兰博基尼酒店的停车场收费吗,好的 昆山托尼洛 兰博基尼酒店的停车场收费吗,昆山托尼洛兰博基尼酒店的停车场收费吗,,0
您好 我最近想看看经典电影 能帮我推荐一部90年代的电影吗,你可以看看狗蛋大兵,那这狗蛋大兵这部电影是什么地区的,那这狗蛋大兵这部电影是什么地区的,90年代电影狗蛋大兵的地区是哪里,,0
可以 再给我推荐一部美国电视剧可以吗 想看布莱恩 科兰斯顿主演的,好的 这里查询到一部片名为绝命毒师第一季的剧符合您的要求,绝命毒师第一季的豆瓣评分是多少啊,绝命毒师第一季的豆瓣评分是多少啊,绝命毒师第一季的豆瓣评分是多少啊,,1
张家界天气预报,张家界今天的天气是阴转多云4度到7度东北风小于3级,太冷了不去,张家界的天气太冷了不去,张家界天气4度到7度太冷了不去,,0
我喜欢江应怜,为啥,因为他很帅,因为江应怜很帅,因为他很帅,,0
香蜜沉沉烬如霜,香蜜沉沉烬如霜你喜欢看嘛,你也在追这个吗我最近也在看呢好喜欢小葡萄,你也在追香蜜沉沉烬如霜吗我最近也在看呢好喜欢小葡萄,你也在追香蜜沉沉烬如霜吗我最近也在看呢好喜欢小葡萄,,1
桑塔纳1 5L自动舒适版这款车有定速巡航吗,有这个功能,桑塔纳1 5L自动舒适版这款车有座椅通风有么,桑塔纳1 5L自动舒适版这款车有座椅通风有么,桑塔纳1.5L自动舒适版这款车有座椅通风吗,,0
下周四上海出发去深圳的车有吗,有的 有好几种呢 你是哪一天出发,你是想问我是下周四上午还是下午上海出发去深圳的车吗,你是想问我是下周四上午还是下午上海出发去深圳的车吗,下周四上午还是下午上海出发去深圳的车有吗,,0
你好 我喜欢品尝各种美食 听说臻品粤茶餐厅不错 请你帮我查一下臻品粤茶餐厅的营业时间是几点,营业时间是是周一至周日10 30 21 30,臻品粤茶餐厅的推荐菜是什么呢,臻品粤茶餐厅的推荐菜是什么呢,臻品粤茶餐厅的推荐菜是什么呢,,1
说一句上海话,不会,能跟你家乡的比不,上海话能跟你家乡的比不,能跟上海话比不,,0
我想了解一下PE6T48010这个辅导班的价格是多少钱呀,价格是960元,请问PE6T48010这个辅导班的上课时间是几点呢,请问PE6T48010这个辅导班的上课时间是几点呢,PE6T48010这个辅导班的上课时间是几点呢,,0
我电瓶被偷了,天啊怎么这么倒霉,开玩笑怎么可能呢是我车被偷了,开玩笑电瓶怎么可能被偷了呢是我车被偷了,我车被偷了，不是开玩笑,,0
好的 奶酪时光的电话号码是多少,请记录0512 67087949,奶酪时光有什么推荐菜呀,奶酪时光有什么推荐菜呀,奶酪时光有什么推荐菜呀,,1
那你帮我看看宏碁 Acer 商祺SQX4270660N的色系和待机时长吧,不好意思 这款也没有显示色系和待机时长,哦 那宏碁 Acer 商祺SQX4270660NCPU型号呢,哦 那宏碁 Acer 商祺SQX4270660NCPU型号呢,宏碁 Acer 商祺SQX4270660N的CPU型号是什么,,0
我比较挑演员 法证先锋是谁演的呢,欧阳震华 林文龙 蒙嘉慧 钟嘉欣,欧阳震华 林文龙 蒙嘉慧 钟嘉欣这几个演员还不错 法证先锋多少集呀,欧阳震华 林文龙 蒙嘉慧 钟嘉欣这几个演员还不错 法证先锋多少集呀,欧阳震华 林文龙 蒙嘉慧 钟嘉欣这几个演员还不错 法证先锋有多少集,,0
济南下雨了,比冷的城市么,是我在的城市,济南是我在的城市,济南下雨了是我在的城市,,0
你肯定是在线客服,什么客服,就是在线的人,在线客服就是在线的人,在线客服就是在线的人,,1
你好 我要去苏州高新区上班 请帮我找一家价位偏贵的酒店 要大床房的,好哒 帮您推荐苏州新城花园丽呈华廷酒店,苏州新城花园丽呈华廷酒店的电话号码是多少,苏州新城花园丽呈华廷酒店的电话号码是多少,苏州新城花园丽呈华廷酒店的电话号码是多少,,1
珠海,珠海啊我平时还挺关注的珠海的官也街有很多好吃的不可错过哦,天气,珠海的天气,珠海的天气,,1
四月十三是什么星座,不知道呢,双子座,四月十三是双子座,四月十三是什么星座,,0
你在哪玩,北京海淀区丹棱街5号来的话我带你尝尝微软食堂最出名的麻辣烫,不好吃,麻辣烫不好吃,微软食堂的麻辣烫不好吃,,0
好的 那帮我找一个休闲度假的酒店,您需要什么价位的酒店,中等价位的休闲度假酒店,中等价位的休闲度假酒店,中等价位的休闲度假酒店,,1
你有男朋友吗,男朋友不是你想有想有就能有,我给你介绍几个,我给你介绍几个男朋友,我给你介绍几个男朋友,,1
我擦 你还会发语音,为什么不会发语音,再来一个,再来一个语音,再来一个语音,,1
G308会历经多长时间到达北京啊,您需要乘坐9小时56分,G308到达北京的时间是几点呢,G308到达北京的时间是几点呢,G308到达北京的具体时间是几点,,0
法国咋样,法国很有实力的毕竟今年世界杯都进八强了,听说他们那边很乱的,听说法国那边很乱的,听说法国那边很乱的,,1
吴丽涵,吴丽涵是谁啊,他喜欢你,吴丽涵喜欢你,吴丽涵喜欢你,,1
知道彭梅吗,感觉你要搞事情,你认识她,你认识彭梅,你认识彭梅吗,,0
航报不知道,马航在哪里,乍一看这个新闻还以为是上次的客机失事事件,乍一看马航还以为是上次的客机失事事件,乍一看这个新闻还以为是马航客机失事事件,,0
我还在写作业,这个时候老师也不会对作业有很多要求,写不完,写不完作业,写不完作业,,1
你喜欢胡歌吗,你是我的小呀小苹果,我喜欢他,我喜欢胡歌,我喜欢胡歌,,1
你身边有没有什么搞笑的事情发生,发生在我身边的事情,有没有,有没有搞笑的事情发生,你身边有没有什么搞笑的事情发生,,0
来来来一起看咒怨,咒怨里有鬼片么,它就是鬼片,咒怨就是鬼片,咒怨就是鬼片,,1
你好 我想找一家相城区的三级医院 你帮我任意找一家吧,好的 为您找到苏州市第五人民医院,这家苏州市第五人民医院有CT吗,这家苏州市第五人民医院有CT吗,苏州市第五人民医院有CT吗,,0
你是煮机大师吗,煮机大师,还行,煮机大师还行,煮机大师还行,,1
我在问你东方永夜抄怎么了,东方永夜抄是啥,这是个游戏呀,东方永夜抄是个游戏呀,东方永夜抄是个游戏,,0
你好 我想问一下苏州周庄花间堂桔梗餐厅招牌菜是什么 能给点推荐嘛,我为您倾情推荐银鱼炒蛋,那请问周庄花间堂桔梗餐厅从几点营业到几点啊,那请问周庄花间堂桔梗餐厅从几点营业到几点啊,周庄花间堂桔梗餐厅从几点营业到几点,,0
八月十五什么星座,狮子座,这个星座的人都超级爱面子的,狮子座的人都超级爱面子的,八月十五出生的狮子座的人都超级爱面子的,,0
你看过我的英雄学院吗,漫画啊,嗯对是漫画,嗯对我的英雄学院是漫画,嗯对是漫画,,0
陈剑说的,陈剑是谁,他是演员吗,陈剑是演员吗,陈剑是演员吗,,1
你今天晚上吃啥,就今晚没自己做买的炒面好吃,好吃吗,炒面好吃吗,炒面好吃吗,,1
果丹皮,哦哦我知道了你说的是零食吧,当然是零食,果丹皮当然是零食,当然果丹皮是零食,,0
你好 来苏州出差 想抽空旅游一下 我想去个消费水平中等的水乡古镇 有好的推荐吗,你好 推荐你去有着千年历史的锦溪古镇,锦溪古镇在哪啊,锦溪古镇在哪啊,锦溪古镇在苏州吗,,0
那PM5P15017A找个辅导班的价格是多钱呢 校区在哪里呢,校区是园区乐活城 价格是1600元,我还想了解PM5P15017A这个课次是多少呢 上课时间是几点 我应该能送他去上课,我还想了解PM5P15017A这个课次是多少呢 上课时间是几点 我应该能送他去上课,PM5P15017A这个课次是多少 上课时间是几点 我应该能送他去上课,,0
你好 我平时很喜欢看电影 尤其喜欢喜剧片 想找一部近些年中国台湾最好看的喜剧片来看 请问有好的推荐吗,好的 为你推荐这部近些年比较热门的喜剧片 天台爱情  相信你一定喜欢,天台爱情在豆瓣的评分有多少呢,天台爱情在豆瓣的评分有多少呢,天台爱情在豆瓣的评分有多少呢,,1
火族老大是谁,挫人,那我们商量一下怎么对付他,那我们商量一下怎么对付火族老大,火族老大是谁，我们商量一下怎么对付他,,0
太好了 我就喜欢这样的景点 能把印象城地址发过来吗,好的 地址是江苏省苏州市工业园区现代大道1699号,收到 我记下来印象城的地址了 玩够了 我们得在工业园区附近尝尝西北菜 你帮我看看哪家餐馆做的好吃,收到 我记下来印象城的地址了 玩够了 我们得在工业园区附近尝尝西北菜 你帮我看看哪家餐馆做的好吃,收到 我记下来印象城的地址了 玩够了 我们得在工业园区附近尝尝西北菜 你帮我看看哪家餐馆做的好吃,,1
我下周准备去南京旅游 想请你帮着推荐一个下周三的航班 广州到南京的 经济舱就行,好的 您稍等 给您推荐东方航空MU2808 白云国际机场T1 禄口国际机场T2,MU2808的飞机能准时么,MU2808的飞机能准时么,MU2808航班能准时吗,,0
你好 我想找家医院 要公立的综合医院 等级上要三级医院 能帮我找一下么,您好 苏州科技城医院符合您所有的要求,苏州科技城医院都什么时间可以去挂号,苏州科技城医院都什么时间可以去挂号,苏州科技城医院的挂号时间是什么时候,,0
我不喜欢全职高手,很有意思的小说啊如果错过还蛮可惜的,小说很有意思不代表我就要喜欢吧,全职高手很有意思不代表我就要喜欢吧,小说很有意思不代表我就要喜欢全职高手,,0
你好 2020年我想利用假期回顾一部优秀的电视剧 请问2010年代中国香港地区最热门的电视剧有好的推荐吗,你喜欢看什么类型的电视剧呢,我想看一部010年代中国香港地区最热门的犯罪片电视剧 找找刺激 哈哈,我想看一部010年代中国香港地区最热门的犯罪片电视剧 找找刺激 哈哈,2010年代中国香港地区最热门的犯罪片电视剧推荐,,0
你竟然还会发语音,会但是不想听你的声音,我也不想给你发,我也不想给你发语音,我也不想给你发语音,,1
沈向洋是谁,找我们大老板有什么事吗擦汗,想了解一下他,想了解一下沈向洋,沈向洋是谁,,0
四代火影是什么,四代火影就是波风水门或者佐助,为啥是佐助,四代火影为啥是佐助,四代火影为什么是佐助,,0
我听说苏州的海底捞火锅挺好的 这家店营业时间是怎么样的啊,周一至周日09 00 07 00营业,海底捞人均消费多少钱啊 是不是得一百多呢,海底捞人均消费多少钱啊 是不是得一百多呢,海底捞人均消费多少钱啊 是不是得一百多呢,,1
你好 我想看些好看的电影电视剧 你先帮我找一部2010年代的动作片电影吧 中国大陆的,好的 这边帮您找到战狼2,战狼2片长多久呀 主演名单上都有谁,战狼2片长多久呀 主演名单上都有谁,战狼2片长多久呀 主演名单上都有谁,,1
二里河爱情小镇,厦门吗,在青岛胶州,二里河爱情小镇在青岛胶州,二里河爱情小镇在青岛胶州,,1
你喜欢六小龄童吗,六小龄童是演的好啊其他演过孙悟空的到是想来霸占霸占得了吗,我觉得他很过分,我觉得六小龄童很过分,我觉得六小龄童很过分,,1
你好 我想买宏碁的轻薄本 比较想要15 6英寸的 内存是8GB就行,你好 我给您推荐宏碁 Acer 墨舞EX215这款电脑,宏碁 Acer 墨舞EX215有什么特性呢,宏碁 Acer 墨舞EX215有什么特性呢,宏碁 Acer 墨舞EX215有什么特性呢,,1
你好 我从外地来苏州旅游 想在姑苏区找个适合家庭亲子游玩的地方 最好便宜点的 有好地方推荐不,完全符合你要求的地方也就狮子林了 建议你去这里逛逛,哇 狮子林听着挺霸气啊 该不会有狮子吧,哇 狮子林听着挺霸气啊 该不会有狮子吧,哇 狮子林听着挺霸气啊 该不会有狮子吧,,1
好的 如果我想改在下周一下午从深圳出发的话 当天有哪个动车到北京呢,同样是D902 深圳北 北京西,哦 下周一什么时间发车,哦 下周一什么时间发车,下周一D902从深圳北出发到北京西的发车时间是什么,,0
那下周日苏州天气情况咋样,下周日是多云,下周日苏州温度如何,下周日苏州温度如何,下周日苏州温度如何,,1
好的 我还想查一下有从成都直飞南京的航班吗,您需要查询哪天的飞机,也是下周三的从成都直飞南京,也是下周三的从成都直飞南京,下周三从成都直飞南京的航班,,0
小微你了解淋巴癌吗,淋巴癌是吗,是的了解吗,是的了解淋巴癌吗,淋巴癌是吗,,0
